Rank,Place name,2016,2011,Growth
1,Houston,"2,296,224","2,100,389", 0.093 
2,San Antonio,"1,469,845","1,327,407", 0.107 
3,Dallas,"1,300,092","1,197,816", 0.085 
4,Austin,"931,820","790,390", 0.179 
5,Fort Worth,"833,319","741,206", 0.124 
6,El Paso,"681,124","649,121", 0.049 
7,Arlington,"388,125","365,438", 0.062 
8,Corpus Christi,"324,074","305,215", 0.062 
9,Plano,"283,558","259,841", 0.091 
10,Laredo,"255,473","236,091", 0.082 
11,Lubbock,"249,042","229,573", 0.085 
12,Garland,"236,897","226,876", 0.044 
13,Irving,"236,607","216,290", 0.094 
14,Amarillo,"198,645","190,695", 0.042 
15,Grand Prairie,"187,809","175,396", 0.071 
16,Brownsville,"183,887","175,023", 0.051 
17,McKinney,"162,898","131,117", 0.242 
18,Frisco,"154,407","116,989", 0.320 
19,Pasadena,"153,784","149,043", 0.032 
20,Mesquite,"144,788","139,824", 0.036 
21,Killeen,"140,806","127,921", 0.101 
22,McAllen,"140,269","130,242", 0.077 
23,Carrollton,"133,168","119,097", 0.118 
24,Midland,"132,950","111,147", 0.196 
25,Waco,"132,356","124,805", 0.061 
26,Denton,"131,044","113,383", 0.132 
27,Abilene,"121,721","117,063", 0.040 
28,Odessa,"118,968","99,940", 0.190 
29,Beaumont,"118,129","118,296", 0.001 
30,Round Rock,"115,997","99,887", 0.161 
31,The Woodlandsæ(CDP)[2],"112,505","93,847", 0.199 
32,Richardson,"110,815","99,223", 0.117 
33,Pearland,"108,821","91,252", 0.193 
34,College Station,"107,889","93,857", 0.150 
35,Wichita Falls,"104,710","104,553", 0.002 
36,Lewisville,"104,039","95,290", 0.092 
37,Tyler,"103,700","96,500", 0.075 
38,San Angelo,"100,450","93,200", 0.078 
39,League City,"98,312","83,560", 0.177 
40,Allen,"98,143","84,246", 0.165 
41,Sugar Land,"88,156","78,817", 0.118 
42,Edinburg,"84,497","77,100", 0.096 
43,Mission,"83,298","77,058", 0.081 
44,Longview,"82,287","80,455", 0.023 
45,Bryan,"82,118","76,201", 0.078 
46,Pharr,"76,538","70,400", 0.087 
47,Baytown,"76,335","71,802", 0.063 
48,Missouri City,"74,139","67,358", 0.101 
49,Temple,"72,277","66,102", 0.093 
50,Flower Mound,"71,253","64,669", 0.102 
51,New Braunfels,"70,543","57,740", 0.222 
52,North Richland Hills,"69,204","63,343", 0.093 
53,Conroe,"68,602","56,207", 0.221 
54,Victoria,"67,574","62,592", 0.080 
55,Cedar Park,"65,945","48,937", 0.348 
56,Harlingen,"65,774","64,849", 0.014 
57,Atascocitaæ(CDP),"65,844","65,844", -   
58,Mansfield,"64,274","56,368", 0.140 
59,Georgetown,"63,716","47,400", 0.344 
60,San Marcos,"60,684","44,894", 0.352 
61,Rowlett,"60,236","56,199", 0.072 
62,Pflugerville,"57,122","46,936", 0.217 
63,Port Arthur,"55,340","53,818", 0.028 
64,Springæ(CDP),"54,298","54,298", -   
65,Euless,"54,219","51,277", 0.057 
66,DeSoto,"52,486","49,047", 0.070 
67,Grapevine,"51,404","46,334", 0.109 
68,Galveston,"50,180","47,743", 0.051 