Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Abilene Police Dept,TX,12,119886,472,3,38,,127,304
Addison Police Dept,TX,12,13523,72,0,5,,17,50
Alamo Police Dept,TX,12,19178,182,0,11,,10,161
Alice Police Dept,TX,12,19627,172,10,8,,6,148
Allen Police Dept,TX,12,88783,55,0,11,,13,31
Alton City Police Dept,TX,12,14178,9,0,3,,4,2
Alvin Police Dept,TX,12,25145,62,0,11,,13,38
Amarillo Police Dept,TX,12,196576,1278,10,110,,278,880
Andrews Police Dept,TX,12,11751,89,0,18,,0,71
Angleton Police Dept,TX,12,19569,59,2,9,,1,47
Arlington Police Dept,TX,12,379295,1909,17,135,,532,1225
Athens Police Dept,TX,12,12946,55,0,14,,6,35
Austin Police Dept,TX,12,832901,3405,31,209,,978,2187
Azle Police Dept,TX,12,11337,25,0,2,,4,19
Balch Springs Police Dept,TX,12,24574,177,0,23,,27,127
Bay City Police Dept,TX,12,17928,54,1,8,,10,35
Baytown Police Dept,TX,12,74420,247,5,15,,97,130
Beaumont Police Dept,TX,12,120323,1242,13,76,,408,745
Bedford Police Dept,TX,12,48763,144,2,10,,29,103
Beeville Police Dept,TX,12,13179,30,1,0,,4,25
Bellaire Police Dept,TX,12,17481,23,0,2,,15,6
Bellmead Police Dept,TX,12,10212,182,0,8,,14,160
Belton Police Dept,TX,12,18763,64,1,1,,13,49
Benbrook Police Dept,TX,12,22040,31,1,3,,9,18
Big Spring Police Dept,TX,12,27774,160,2,15,,11,132
Boerne Police Dept,TX,12,11047,17,0,2,,4,11
Borger Police Dept,TX,12,13438,131,0,18,,4,109
Brenham Police Dept,TX,12,15988,34,1,0,,7,26
Brownsville Police Dept,TX,12,181102,473,3,38,,125,307
Brownwood Police Dept,TX,12,19618,103,0,16,,9,78
Bryan Police Dept,TX,12,78479,312,1,31,,69,211
Buda,TX,12,7797,10,0,2,,3,5
Burkburnett Police Dept,TX,12,10901,34,1,6,,1,26
Burleson Police Dept,TX,12,37774,67,1,7,,21,38
Canyon Police Dept,TX,12,13773,17,1,2,,0,14
Carrollton Police Dept,TX,12,124477,180,2,7,,75,96
Cedar Hill Police Dept,TX,12,46633,106,0,11,,38,57
Cedar Park City Police Dept,TX,12,52051,109,0,11,,9,89
Cibolo Police Dept,TX,12,16090,23,1,4,,1,17
Cleburne Police Dept,TX,12,30126,147,1,27,,21,98
Clute Police Dept,TX,12,11631,25,0,3,,4,18
College Station Police Dept,TX,12,96567,491,3,34,,38,416
Colleyville Police Dept,TX,12,23677,5,0,1,,1,3
Conroe Police Dept,TX,12,59856,221,2,13,,74,132
Converse Police Dept,TX,12,18922,71,0,9,,11,51
Coppell Police Dept,TX,12,40053,27,0,3,,4,20
Copperas Cove Police Dept,TX,12,33009,118,1,10,,23,84
Corinth City Police Dept,TX,12,20971,34,0,0,,3,31
Corpus Christi Police Dept,TX,12,312565,2057,16,184,,375,1482
Corsicana Police Dept,TX,12,24284,157,0,25,,33,99
Crowley Police Dept,TX,12,13328,17,0,5,,4,8
Dallas Police Dept,TX,12,1241549,8380,154,486,,4093,3647
Deer Park Police Dept,TX,12,33196,46,0,13,,14,19
Del Rio Police Dept,TX,12,36302,61,1,0,,10,50
Denison Police Dept,TX,12,23125,94,1,10,,15,68
Denton Police Dept,TX,12,118942,369,1,86,,82,200
De Soto Police Dept,TX,12,50795,132,1,11,,43,77
Dickinson City Police Dept,TX,12,19251,49,0,6,,15,28
Donna City Police Dept,TX,12,16518,139,0,4,,18,117
Dumas Police Dept,TX,12,14946,33,0,4,,1,28
Duncanville Police Dept,TX,12,39899,119,0,7,,63,49
Eagle Pass Police Dept,TX,12,27208,53,0,0,,3,50
Edinburg Police Dept,TX,12,80332,357,1,29,,50,277
El Campo Police Dept,TX,12,11786,37,1,2,,5,29
El Paso Police Dept,TX,12,675536,2859,23,184,,471,2181
Ennis Police Dept,TX,12,19184,62,2,2,,23,35
Euless Police Dept,TX,12,53228,95,0,10,,38,47
Farmers Branch Police Dept,TX,12,29637,35,1,2,,13,19
Flower Mound Police Dept,TX,12,68023,21,0,0,,5,16
Forest Hill Police Dept,TX,12,12825,64,2,3,,20,39
Forney Police Dept,TX,12,15174,21,0,5,,5,11
Fort Worth Police Dept,TX,12,770101,4525,45,391,,1280,2809
Fredericksburg Police Dept,TX,12,10802,7,0,0,,2,5
Freeport Police Dept,TX,12,12501,36,1,6,,7,22
Friendswood Police Dept,TX,12,36965,15,0,4,,4,7
Frisco Police Dept,TX,12,123205,98,0,8,,24,66
Gainesville Police Dept,TX,12,16223,89,1,7,,13,68
Galena Park Police Dept,TX,12,11290,49,0,8,,5,36
Galveston Police Dept,TX,12,49170,296,2,37,,118,139
Garland Police Dept,TX,12,234984,540,7,47,,236,250
Gatesville Police Dept,TX,12,16224,17,0,3,,2,12
Georgetown Police Dept,TX,12,50304,66,0,14,,5,47
Glenn Heights Police Dept,TX,12,11683,49,0,4,,5,40
Grand Prairie Police Dept,TX,12,181782,499,1,50,,160,288
Grapevine Police Dept,TX,12,48095,71,1,13,,13,44
Greenville Police Dept,TX,12,26061,166,0,11,,40,115
Groves Police Dept,TX,12,16423,73,1,7,,8,57
Haltom City Police Dept,TX,12,44024,106,0,7,,27,72
Harker Heights Police Dept,TX,12,27542,123,0,13,,20,90
Harlingen Police Dept,TX,12,67112,271,4,23,,62,182
Henderson Police Dept,TX,10,14019,80,0,2,,10,68
Hereford Police Dept,TX,12,15779,32,0,1,,6,25
Hewitt Police Dept,TX,12,13973,11,0,0,,1,10
Hidalgo Police Dept,TX,12,11706,12,0,0,,3,9
Highland Village Police Dept,TX,12,15836,6,0,0,,3,3
Horizon City Police Dept,TX,12,17418,28,0,0,,3,25
Houston Police Dept,TX,12,2177273,21610,217,665,,9385,11343
Humble Police Dept,TX,12,15684,106,1,25,,51,29
Huntsville Police Dept,TX,12,39243,202,1,28,,13,160
Hurst Police Dept,TX,12,38756,217,0,12,,33,172
Hutto Police Dept,TX,12,15635,21,0,4,,1,16
Irving Police Dept,TX,12,224007,507,3,27,,135,342
Jacinto City Police Dept,TX,12,10941,29,0,1,,15,13
Jacksonville Police Dept,TX,12,14856,159,1,19,,22,117
Katy Police Dept,TX,12,14642,30,0,1,,8,21
Keller Police Dept,TX,12,41137,15,0,2,,4,9
Kerrville Police Dept,TX,12,22759,39,1,2,,3,33
Kilgore Police Dept,TX,12,13306,63,0,6,,9,48
Killeen Police Dept,TX,12,131965,851,12,82,,236,521
Kingsville Police Dept,TX,12,26716,142,0,5,,17,120
Kyle Police Dept,TX,12,29732,107,1,15,,6,85
La Marque Police Dept,TX,12,14953,75,1,11,,23,40
La Porte Police Dept,TX,12,35054,61,1,25,,8,27
Lake Jackson Police Dept,TX,12,27862,24,0,4,,9,11
Lakeway Police Dept,TX,12,12007,23,0,0,,0,23
Lancaster Police Dept,TX,12,37653,106,0,6,,38,62
Laredo,TX,12,245558,1036,8,81,,183,764
League City Police Dept,TX,12,86127,79,0,16,,28,35
Leander City Police Dept,TX,12,28244,41,0,2,,3,36
Leon Valley Police Dept,TX,12,10558,28,0,1,,9,18
Levelland Police Dept,TX,12,13719,86,1,11,,8,66
Lewisville Police Dept,TX,12,100216,168,2,21,,48,97
Little Elm Police Dept,TX,12,27246,25,0,2,,8,15
Live Oak City Police Dept,TX,12,13657,27,0,1,,6,20
Lockhart Police Dept,TX,12,13013,61,0,9,,8,44
Longview Police Dept,TX,12,82554,463,7,28,,131,297
Lubbock Police Dept,TX,12,237241,1962,11,104,,325,1522
Lufkin Police Dept,TX,12,35956,221,2,12,,43,164
Lumberton,TX,12,12258,14,0,3,,2,9
Mansfield Police Dept,TX,12,58490,74,2,23,,22,27
Marshall Police Dept,TX,12,24109,146,2,10,,13,121
McAllen Police Dept,TX,12,135745,166,1,3,,56,106
Mckinney Police Dept,TX,12,138105,229,0,54,,58,117
The Village Police Dept,TX,12,11540,3,0,0,,2,1
Mercedes Police Dept,TX,12,16417,108,0,10,,17,81
Mesquite Police Dept,TX,12,144811,442,2,14,,183,243
Midland Police Dept,TX,12,115637,398,4,21,,52,321
Midlothian Police Dept,TX,12,18693,17,0,3,,1,13
Mineral Wells Police Dept,TX,12,17045,60,1,5,,11,43
Mission Police Dept,TX,12,80557,104,3,6,,46,49
Missouri City Police Dept,TX,12,70819,86,0,8,,34,44
Mount Pleasant Police Dept,TX,12,15941,32,0,0,,3,29
Murphy City Police Dept,TX,12,18662,5,0,1,,0,4
Nacogdoches Police Dept,TX,12,33905,133,1,10,,27,95
Nederland Police Dept,TX,12,17850,61,2,2,,4,53
New Braunfels Police Dept,TX,12,60482,115,1,19,,27,68
North Richland Hills Police Dept,TX,12,65750,170,1,18,,23,128
Odessa Police Dept,TX,12,103635,1103,5,43,,141,914
Orange Police Dept,TX,12,19025,112,0,2,,31,79
Palestine Police Dept,TX,12,18936,162,2,18,,21,121
Pampa Police Dept,TX,12,18452,110,0,1,,6,103
Paris Police Dept,TX,12,25693,155,3,7,,35,110
Pasadena Police Dept,TX,12,154562,622,8,52,,147,415
Pearland Police Dept,TX,12,94702,123,1,18,,28,76
Pflugerville Police Dept,TX,12,49483,61,1,9,,6,45
Pharr Police Dept,TX,12,73599,270,0,14,,44,212
Plainview Police Dept,TX,12,22678,61,0,5,,10,46
Plano Police Dept,TX,12,273816,358,1,55,,110,192
Port Arthur Police Dept,TX,12,54745,344,4,19,,121,200
Port Lavaca Police Dept,TX,11,12466,98,0,13,,3,82
Port Neches Police Dept,TX,12,13266,33,0,2,,2,29
Portland Police Dept,TX,12,15306,15,1,4,,6,4
Prosper,TX,12,10037,10,0,0,,1,9
Raymondville Police Dept,TX,12,11428,78,0,5,,3,70
Red Oak Police Dept,TX,12,11160,11,0,0,,3,8
Richardson Police Dept,TX,12,103266,171,2,27,,80,62
Richmond Police Dept,TX,12,12248,45,1,5,,7,32
Rio Grande Police Dept,TX,12,14175,24,0,0,,6,18
Robinson Police Dept,TX,12,10840,9,1,1,,2,5
Robstown Police Dept,TX,12,11764,21,0,1,,8,12
Rockport Police Dept,TX,12,8978,33,0,6,,3,24
Rockwall Police Dept,TX,12,39613,42,1,2,,4,35
Rosenberg Police Dept,TX,12,32230,81,0,15,,19,47
Round Rock Police Dept,TX,12,106232,141,0,32,,45,64
Rowlett Police Dept,TX,12,58324,71,0,17,,9,45
Royse City Police Dept,TX,12,9834,6,0,2,,0,4
Sachse City Police Dept,TX,12,21172,23,1,8,,2,12
Saginaw Police Dept,TX,12,20561,35,0,3,,8,24
San Angelo Police Dept,TX,12,95960,269,4,43,,35,187
San Antonio Police Dept,TX,12,1380123,6943,89,549,,1864,4441
San Benito Police Dept,TX,12,25099,71,1,0,,19,51
San Juan Police Dept,TX,12,35394,201,2,31,,16,152
San Marcos Police Dept,TX,12,47384,164,1,27,,28,108
Santa Fe City Police Dept,TX,12,12597,22,1,3,,3,15
Schertz Police Dept,TX,12,32964,64,0,8,,4,52
Seabrook Police Dept,TX,12,12395,8,0,0,,5,3
Seagoville Police Dept,TX,12,15320,15,2,0,,6,7
Seguin Police Dept,TX,12,26332,60,1,7,,12,40
Sherman Police Dept,TX,12,39269,139,2,3,,28,106
Snyder Police Dept,TX,12,11368,51,1,7,,4,39
Socorro Police Dept,TX,12,33326,55,0,4,,6,45
South Houston Police Dept,TX,12,17614,90,1,9,,30,50
Southlake Police Dept,TX,12,27596,10,1,0,,5,4
Stafford Police Dept,TX,12,18623,78,2,3,,29,44
Stephenville Police Dept,TX,12,17511,33,0,7,,3,23
Sugar Land Police Dept,TX,12,82924,109,0,4,,37,68
Sulphur Springs Police Dept,TX,12,15774,39,0,0,,3,36
Sweetwater Police Dept,TX,12,11107,121,0,27,,9,85
Taylor Police Dept,TX,12,16240,23,0,2,,10,11
Temple Police Dept,TX,12,68194,202,1,22,,74,105
Terrell Police Dept,TX,12,16353,64,1,7,,15,41
Texarkana Police Dept,TX,12,37048,392,5,16,,71,300
Texas City Police Dept,TX,12,46448,148,2,11,,51,84
The Colony City Police Dept,TX,12,38217,38,0,6,,9,23
Tomball Police Dept,TX,12,11143,36,0,10,,5,21
Trophy Club Police Dept,TX,12,8435,1,0,1,,0,0
Tyler Police Dept,TX,12,100040,537,4,45,,92,396
Universal City Police Dept,TX,12,19271,70,0,1,,13,56
University Park Police Dept,TX,12,23842,11,0,2,,5,4
Uvalde Police Dept,TX,12,16065,75,1,7,,3,64
Vernon Police Dept,TX,12,11060,55,1,14,,1,39
Victoria Police Dept,TX,12,64076,405,5,31,,47,322
Vidor Police Dept,TX,12,10974,38,1,1,,3,33
Waco Police Dept,TX,12,128595,635,6,63,,182,384
Watauga Police Dept,TX,12,24390,46,0,6,,11,29
Waxahachie Police Dept,TX,12,30676,45,0,0,,14,31
Weatherford Police Dept,TX,12,25940,35,0,0,,8,27
Webster Police Dept,TX,12,10780,43,0,10,,21,12
Weslaco Police Dept,TX,12,37271,410,1,25,,60,324
West University Place Police Dept,TX,12,15335,13,0,0,,11,2